Country,Date,Confirmed,Recovered,Deaths,Active
Germany,2020-03-18,8198,105,12,8081
Germany,2020-03-19,10999,113,20,10866
Germany,2020-03-20,13957,180,31,13746
Germany,2020-03-21,16662,233,47,16382
Germany,2020-03-22,18610,266,55,18289
Germany,2020-03-23,22672,266,86,22320
Germany,2020-03-24,27436,3243,114,24079
Germany,2020-03-25,31554,3547,149,27858
Germany,2020-03-26,36508,5673,198,30637
Germany,2020-03-27,42288,6658,253,35377
Germany,2020-03-28,48582,8481,325,39776
Germany,2020-03-29,52547,9211,389,42947
Germany,2020-03-30,57298,13500,455,43343
Germany,2020-03-31,61913,16100,583,45230
Germany,2020-04-01,67366,18700,732,47934
Germany,2020-04-02,73522,22440,872,50210
Germany,2020-04-03,79696,24575,1017,54104
Germany,2020-04-04,85778,26400,1158,58220
Germany,2020-04-05,91714,28700,1342,61672
Germany,2020-04-06,95391,28700,1434,65257
Germany,2020-04-07,99225,36081,1607,61537
Germany,2020-04-08,103228,46300,1861,55067
Germany,2020-04-09,108202,52407,2107,53688
Germany,2020-04-10,113525,53913,2373,57239
Germany,2020-04-11,117658,57400,2544,57714
Germany,2020-04-12,120479,60300,2673,57506
Germany,2020-04-13,123016,64300,2799,55917
Germany,2020-04-14,125098,68200,2969,53929
Germany,2020-04-15,127584,72600,3254,51730
Germany,2020-04-16,130450,77000,3569,49881
Germany,2020-04-17,133830,83114,3868,46848
Germany,2020-04-18,137439,85400,4110,47929
Germany,2020-04-19,139897,88000,4294,47603
Germany,2020-04-20,141672,91500,4404,45768
Germany,2020-04-21,143457,95200,4598,43659
Germany,2020-04-22,145694,99400,4879,41415
Germany,2020-04-23,148046,103300,5094,39652
Germany,2020-04-24,150383,109800,5321,35262
Germany,2020-04-25,152438,109800,5500,37138
Germany,2020-04-26,154175,112000,5640,36535
Germany,2020-04-27,155193,114500,5750,34943
Germany,2020-04-28,156337,117400,5913,33024
Germany,2020-04-29,157641,120400,6115,31126
Germany,2020-04-30,159119,123500,6288,29331
Germany,2020-05-01,160758,126900,6481,27377
Germany,2020-05-02,161703,129000,6575,26128
Germany,2020-05-03,162496,130600,6649,25247
Germany,2020-05-04,163175,132700,6692,23783
Germany,2020-05-05,163860,135100,6831,21929
Germany,2020-05-06,164807,139900,6996,17911
Germany,2020-05-07,166091,141700,7119,17272
Germany,2020-05-08,167300,141700,7266,18334
Germany,2020-05-09,168551,143300,7369,17882
Germany,2020-05-10,169218,144400,7395,17423
Germany,2020-05-11,169575,145617,7417,16541
Germany,2020-05-12,170508,147200,7533,15775
Germany,2020-05-13,171306,148700,7634,14972
Germany,2020-05-14,172239,150300,7723,14216
Germany,2020-05-15,173152,151597,7824,13731
Germany,2020-05-16,173772,152600,7881,13291
Germany,2020-05-17,174355,154011,7914,12430
Germany,2020-05-18,174697,155041,7935,11721
Germany,2020-05-19,175210,155681,8007,11522
Germany,2020-05-20,176007,156966,8090,10951
Germany,2020-05-21,176752,158087,8147,10518
Germany,2020-05-22,177212,159064,8174,9974
Germany,2020-05-23,177850,159716,8216,9918
Germany,2020-05-24,178281,160281,8247,9753
Germany,2020-05-25,178570,161199,8257,9114
Germany,2020-05-26,179002,161967,8302,8733
Germany,2020-05-27,179364,162820,8349,8195
Germany,2020-05-28,179717,163360,8411,7946
Germany,2020-05-29,180458,164245,8450,7763
Germany,2020-05-30,181196,164908,8489,7799
Germany,2020-05-31,181482,165352,8500,7630
Germany,2020-06-01,181815,165632,8511,7672
Germany,2020-06-02,182028,166609,8522,6897
Germany,2020-06-03,182370,167453,8551,6366
Germany,2020-06-04,182764,167909,8581,6274
Germany,2020-06-05,183271,168480,8613,6178
Germany,2020-06-06,183678,168958,8646,6074
Germany,2020-06-07,183979,169224,8668,6087
Germany,2020-06-08,184193,169556,8674,5963
Germany,2020-06-09,184543,170129,8711,5703
Germany,2020-06-10,184861,170630,8729,5502
Germany,2020-06-11,185416,170961,8755,5700
Germany,2020-06-12,185674,171535,8763,5376
Germany,2020-06-13,186022,171970,8781,5271
Germany,2020-06-14,186269,172089,8787,5393
Germany,2020-06-15,186461,172692,8791,4978
Germany,2020-06-16,186839,172842,8800,5197
Germany,2020-06-17,187184,173599,8830,4755
Germany,2020-06-18,187764,173847,8856,5061
Germany,2020-06-19,188534,173972,8872,5690
Germany,2020-06-20,189135,174609,8883,5643
Germany,2020-06-21,189822,174740,8882,6200
Germany,2020-06-22,190359,175143,8885,6331
Germany,2020-06-23,190862,175825,8895,6142
Germany,2020-06-24,191449,176422,8914,6113
Germany,2020-06-25,192079,176764,8927,6388
Germany,2020-06-26,192556,177149,8948,6459
Germany,2020-06-27,193243,177518,8954,6771
Germany,2020-06-28,193499,177657,8957,6885
Germany,2020-06-29,193761,177770,8961,7030
Germany,2020-06-30,194259,178100,8973,7186
Germany,2020-07-01,194725,179100,8985,6640
Germany,2020-07-02,195228,179800,8994,6434
Germany,2020-07-03,195674,180300,9003,6371
Germany,2020-07-04,196096,181000,9010,6086
Germany,2020-07-05,196335,181719,9012,5604
Germany,2020-07-06,196554,182160,9016,5378
Germany,2020-07-07,196944,182661,9024,5259
Germany,2020-07-08,197341,183153,9036,5152
Germany,2020-07-09,197783,183728,9048,5007
Germany,2020-07-10,198178,184028,9054,5096
Germany,2020-07-11,198556,184266,9060,5230
Germany,2020-07-12,198804,184414,9063,5327
Germany,2020-07-13,198963,185100,9064,4799
Germany,2020-07-14,199375,185100,9068,5207
Germany,2020-07-15,199726,186000,9071,4655
Germany,2020-07-16,200260,186400,9078,4782
Germany,2020-07-17,200843,186900,9082,4861
Germany,2020-07-18,201372,187200,9083,5089
Germany,2020-07-19,201574,187400,9084,5090
Germany,2020-07-20,201823,188070,9086,4667
Germany,2020-07-21,202345,188221,9090,5034
Germany,2020-07-22,202799,188628,9095,5076
Germany,2020-07-23,203368,189140,9101,5127
Germany,2020-07-24,204183,189696,9111,5376
Germany,2020-07-25,204964,189919,9118,5927
Germany,2020-07-26,205269,190055,9118,6096
Germany,2020-07-27,205609,190314,9118,6177
Germany,2020-07-28,206242,190711,9122,6409
Germany,2020-07-29,206926,191279,9128,6519
Germany,2020-07-30,207828,191551,9134,7143
Germany,2020-07-31,208698,191992,9141,7565
Germany,2020-08-01,209653,192636,9148,7869
Germany,2020-08-02,209893,192908,9141,7844
Germany,2020-08-03,210402,193594,9148,7660
Germany,2020-08-04,211281,194173,9156,7952
Germany,2020-08-05,212022,194568,9168,8286
Germany,2020-08-06,213067,195281,9175,8611
Germany,2020-08-07,214214,195935,9183,9096
Germany,2020-08-08,215336,196550,9195,9591
Germany,2020-08-09,215891,196783,9196,9912
Germany,2020-08-10,216327,197382,9197,9748
Germany,2020-08-11,217293,198347,9201,9745
Germany,2020-08-12,218519,198991,9207,10321
Germany,2020-08-13,219964,199654,9211,11099
Germany,2020-08-14,221413,200440,9225,11748
Germany,2020-08-15,222828,200756,9231,12841
Germany,2020-08-16,223453,201187,9231,13035
Germany,2020-08-17,224014,202249,9232,12533
Germany,2020-08-18,225404,203677,9236,12491
Germany,2020-08-19,226914,204454,9243,13217
Germany,2020-08-20,228621,205359,9253,14009
Germany,2020-08-21,230048,206656,9260,14132
Germany,2020-08-22,232082,207606,9267,15209
Germany,2020-08-23,232864,207985,9269,15610
Germany,2020-08-24,233575,208653,9272,15650
Germany,2020-08-25,234853,210333,9277,15243
Germany,2020-08-26,236429,211691,9280,15458
Germany,2020-08-27,237936,212909,9285,15742
Germany,2020-08-28,239507,214186,9288,16033
Germany,2020-08-29,240986,214790,9289,16907
Germany,2020-08-30,241771,215283,9295,17193
Germany,2020-08-31,242381,216795,9298,16288
Germany,2020-09-01,243599,218403,9302,15894
Germany,2020-09-02,244855,219904,9313,15638
Germany,2020-09-03,246166,221525,9321,15320
Germany,2020-09-04,247619,222802,9322,15495
Germany,2020-09-05,248997,223570,9324,16103
Germany,2020-09-06,249985,224215,9325,16445
Germany,2020-09-07,250799,225704,9325,15770
Germany,2020-09-08,252298,227379,9329,15590
Germany,2020-09-09,253474,228784,9338,15352
Germany,2020-09-10,255366,230283,9341,15742
Germany,2020-09-11,256850,231349,9342,16159
Germany,2020-09-12,258480,231953,9347,17180
Germany,2020-09-13,259428,232541,9349,17538
Germany,2020-09-14,260355,234017,9350,16988
Germany,2020-09-15,261762,235112,9362,17288
Germany,2020-09-16,263663,236623,9368,17672
Germany,2020-09-17,265857,238437,9371,18049
Germany,2020-09-18,267773,239654,9378,18741
Germany,2020-09-19,270070,240510,9384,20176
Germany,2020-09-20,271415,241192,9386,20837
Germany,2020-09-21,272337,242656,9386,20295
Germany,2020-09-22,274158,244693,9396,20069
Germany,2020-09-23,275927,245706,9409,20812
Germany,2020-09-24,278070,247766,9428,20876
Germany,2020-09-25,280223,249164,9443,21616
Germany,2020-09-26,282730,250104,9452,23174
Germany,2020-09-27,284140,250866,9457,23817
Germany,2020-09-28,285332,252693,9460,23179
Germany,2020-09-29,287421,255212,9471,22738
Germany,2020-09-30,289219,256861,9488,22870
Germany,2020-10-01,291722,258220,9500,24002
Germany,2020-10-02,294395,259722,9508,25165
Germany,2020-10-03,296958,260916,9527,26515
Germany,2020-10-04,299237,262002,9529,27706
Germany,2020-10-05,300619,265624,9534,25461
Germany,2020-10-06,303258,267747,9546,25965
Germany,2020-10-07,306086,269722,9562,26802
Germany,2020-10-08,310144,271960,9578,28606
Germany,2020-10-09,314660,273718,9589,31353
Germany,2020-10-10,319381,274934,9604,34843
Germany,2020-10-11,322864,276983,9615,36266
Germany,2020-10-12,325331,278391,9621,37319
Germany,2020-10-13,329453,280533,9634,39286
Germany,2020-10-14,334585,283656,9677,41252
Germany,2020-10-15,341223,286137,9710,45376
Germany,2020-10-16,348557,289027,9734,49796
Germany,2020-10-17,356387,291129,9767,55491
Germany,2020-10-18,361974,293447,9777,58750
Germany,2020-10-19,366299,296672,9789,59838
Germany,2020-10-20,373167,299743,9836,63588
Germany,2020-10-21,380762,304173,9875,66714
Germany,2020-10-22,392049,308779,9905,73365
Germany,2020-10-23,403291,312347,9954,80990
Germany,2020-10-24,418005,316124,10003,91878
Germany,2020-10-25,429181,320004,10032,99145
Germany,2020-10-26,437866,325052,10056,102758
Germany,2020-10-27,449275,327697,10098,111480
Germany,2020-10-28,464239,336764,10183,117292
Germany,2020-10-29,481013,340436,10272,130305
Germany,2020-10-30,499694,351921,10349,137424
Germany,2020-10-31,518753,356410,10452,151891
Germany,2020-11-01,532930,363545,10481,158904
Germany,2020-11-02,545027,372499,10530,161998
Germany,2020-11-03,560379,373391,10661,176327
Germany,2020-11-04,577593,384012,10812,182769
Germany,2020-11-05,597583,394616,10930,192037
Germany,2020-11-06,619089,405809,11096,202184
Germany,2020-11-07,642488,413484,11226,217778
Germany,2020-11-08,658505,421151,11289,226065
Germany,2020-11-09,671868,443621,11352,216895
Germany,2020-11-10,687200,446402,11506,229292
Germany,2020-11-11,705687,460504,11767,233416
Germany,2020-11-12,727553,474208,11982,241363
Germany,2020-11-13,751095,487913,12200,250982
Germany,2020-11-14,773556,498996,12378,262182
Germany,2020-11-15,790503,505714,12485,272304
Germany,2020-11-16,801327,522313,12547,266467
Germany,2020-11-17,815746,537347,12814,265585
Germany,2020-11-18,833307,554272,13119,265916
Germany,2020-11-19,855916,570961,13370,271585
Germany,2020-11-20,879564,587780,13630,278154
Germany,2020-11-21,902528,600991,13884,287653
Germany,2020-11-22,918269,611627,14022,292620
Germany,2020-11-23,929133,630375,14112,284646
Germany,2020-11-24,942687,649070,14361,279256
Germany,2020-11-25,961320,666373,14771,280176
Germany,2020-11-26,983588,685537,15160,282891
Germany,2020-11-27,1006394,705213,15586,285595
Germany,2020-11-28,1028089,718604,15965,293520
Germany,2020-11-29,1042700,730797,16123,295780
Germany,2020-11-30,1053869,749219,16248,288402
Germany,2020-12-01,1067473,769380,16636,281457
Germany,2020-12-02,1084743,789564,17123,278056
Germany,2020-12-03,1106789,811091,17602,278096
Germany,2020-12-04,1130238,831935,18034,280269
Germany,2020-12-05,1153556,852580,18517,282459
Germany,2020-12-06,1171323,868285,18772,284266
Germany,2020-12-07,1183655,888701,18919,276035
Germany,2020-12-08,1197709,909058,19342,269309
Germany,2020-12-09,1218524,929272,19932,269320
Germany,2020-12-10,1242203,949913,20372,271918
Germany,2020-12-11,1272078,966238,20970,284870
Germany,2020-12-12,1300516,975931,21466,303119
Germany,2020-12-13,1320716,990707,21787,308222
Germany,2020-12-14,1337078,1012077,21975,303026
Germany,2020-12-15,1351510,1031721,22475,297314
Germany,2020-12-16,1379238,1056477,23427,299334
Germany,2020-12-17,1406161,1078944,24125,303092
Germany,2020-12-18,1439938,1095982,24938,319018
Germany,2020-12-19,1471238,1107115,25640,338483
Germany,2020-12-20,1494009,1123725,26049,344235
Germany,2020-12-21,1510652,1147943,26275,336434
Germany,2020-12-22,1530180,1171444,27006,331730
Germany,2020-12-23,1554920,1197472,27968,329480
Germany,2020-12-24,1587115,1220277,28770,338068
Germany,2020-12-25,1612648,1235968,29182,347498
Germany,2020-12-26,1627103,1253285,29422,344396
Germany,2020-12-27,1640858,1272032,29778,339048
Germany,2020-12-28,1651834,1294932,30126,326776
Germany,2020-12-29,1664726,1319757,30978,313991
Germany,2020-12-30,1687185,1345952,32107,309126
Germany,2020-12-31,1719737,1350708,33071,335958
Germany,2021-01-01,1742661,1388744,33624,320293
Germany,2021-01-02,1755351,1400810,33960,320581
Germany,2021-01-03,1765666,1422151,34272,309243
Germany,2021-01-04,1775513,1445442,34574,295497
Germany,2021-01-05,1787410,1472311,35518,279581
Germany,2021-01-06,1808647,1496182,36537,275928
Germany,2021-01-07,1835038,1517019,37607,280412
Germany,2021-01-08,1866887,1533143,38795,294949
Germany,2021-01-09,1891581,1546206,39878,305497
Germany,2021-01-10,1908527,1566907,40343,301277
Germany,2021-01-11,1921024,1590171,40686,290167
Germany,2021-01-12,1933826,1616761,41577,275488
Germany,2021-01-13,1953426,1640682,42637,270107
Germany,2021-01-14,1978590,1661394,43881,273315
Germany,2021-01-15,2000958,1664176,44994,291788
Germany,2021-01-16,2019636,1680479,45974,293183
Germany,2021-01-17,2033518,1709540,46419,277559
Germany,2021-01-18,2040659,1713196,46633,280830
Germany,2021-01-19,2052028,1757713,47622,246693
Germany,2021-01-20,2068002,1778319,48770,240913
Germany,2021-01-21,2088400,1797648,49783,240969
Germany,2021-01-22,2106262,1813894,50642,241726
Germany,2021-01-23,2122679,1826161,51521,244997
Germany,2021-01-24,2134936,1840970,51870,242096
Germany,2021-01-25,2141665,1859936,52087,229642
Germany,2021-01-26,2148077,1881933,52990,213154
Germany,2021-01-27,2161275,1881933,53972,225370
Germany,2021-01-28,2178828,1915501,54913,208414
Germany,2021-01-29,2192850,1917964,55752,219134
Germany,2021-01-30,2205171,1938929,56546,209696
Germany,2021-01-31,2216363,1940046,56945,219372
Germany,2021-02-01,2221971,1967132,57120,197719
Germany,2021-02-02,2228085,1986214,57981,183890
Germany,2021-02-03,2237790,2003831,58956,175003
Germany,2021-02-04,2252001,2020303,59742,171956
Germany,2021-02-05,2264909,2033168,60597,171144
Germany,2021-02-06,2275394,2041988,61286,172120
Germany,2021-02-07,2284010,2052656,61517,169837
Germany,2021-02-08,2288545,2054340,61675,172530
Germany,2021-02-09,2291924,2081966,62156,147802
Germany,2021-02-10,2299996,2096775,62969,140252
Germany,2021-02-11,2310233,2109508,63635,137090
Germany,2021-02-12,2320093,2120342,64191,135560
Germany,2021-02-13,2328447,2128002,64742,135703
Germany,2021-02-14,2334561,2136933,64960,132668
Germany,2021-02-15,2338987,2148269,65076,125642
Germany,2021-02-16,2342843,2161100,65604,116139
Germany,2021-02-17,2350399,2172312,66164,111923
Germany,2021-02-18,2360606,2182370,66698,111538
Germany,2021-02-19,2369719,2191208,67206,111305
Germany,2021-02-20,2378883,2197065,67696,114122
Germany,2021-02-21,2386559,2204110,67841,114608
Germany,2021-02-22,2390928,2212439,67903,110586
Germany,2021-02-23,2394811,2221972,68318,104521
Germany,2021-02-24,2402818,2231073,68740,103005
Germany,2021-02-25,2414687,2232050,69125,113512
Germany,2021-02-26,2424684,2247173,69519,107992
Germany,2021-02-27,2434446,2252970,69888,111588
Germany,2021-02-28,2442336,2259548,70045,112743
Germany,2021-03-01,2447068,2260719,70105,116244
Germany,2021-03-02,2451011,2277626,70463,102922
Germany,2021-03-03,2460030,2286728,70881,102421
Germany,2021-03-04,2471942,2295405,71240,105297
Germany,2021-03-05,2482522,2302899,71504,108119
Germany,2021-03-06,2492079,2308094,71804,112181
Germany,2021-03-07,2500182,2314400,71900,113882
Germany,2021-03-08,2505193,2322734,71934,110525
Germany,2021-03-09,2509445,2331890,72189,105366
Germany,2021-03-10,2518591,2340473,72489,105629
Germany,2021-03-11,2532947,2349384,72810,110753
Germany,2021-03-12,2545781,2356590,73062,116129
Germany,2021-03-13,2558455,2357374,73301,127780
Germany,2021-03-14,2569245,2368995,73371,126879
Germany,2021-03-15,2575849,2377584,73418,124847
Germany,2021-03-16,2581329,2387232,73656,120441
Germany,2021-03-17,2594764,2387743,73905,133116
Germany,2021-03-18,2612268,2405600,74132,132536
Germany,2021-03-19,2629750,2413584,74358,141808
Germany,2021-03-20,2645783,2419292,74565,151926
Germany,2021-03-21,2659516,2426700,74664,158152
Germany,2021-03-22,2667225,2437183,74714,155328
Germany,2021-03-23,2674710,2448828,74964,150918
Germany,2021-03-24,2690523,2460019,75212,155292
Germany,2021-03-25,2713180,2471558,75440,166182
Germany,2021-03-26,2734753,2481908,75623,177222
Germany,2021-03-27,2755225,2489198,75780,190247
Germany,2021-03-28,2772401,2499010,75870,197521
Germany,2021-03-29,2782273,2511417,75913,194943
Germany,2021-03-30,2791822,2525580,76093,190149
Germany,2021-03-31,2808873,2539660,76342,192871
Germany,2021-04-01,2833173,2552020,76543,204610
Germany,2021-04-02,2855061,2566530,76775,211756
Germany,2021-04-03,2873190,2575740,76895,220555
Germany,2021-04-04,2885386,2585850,76963,222573
Germany,2021-04-05,2893883,2587580,77013,229290
Germany,2021-04-06,2900768,2604890,77103,218775
Germany,2021-04-07,2910445,2638320,77401,194724
Germany,2021-04-08,2930852,2640300,77707,212845
Germany,2021-04-09,2956316,2654930,78003,223383
Germany,2021-04-10,2980413,2668910,78249,233254
Germany,2021-04-11,2998268,2692230,78353,227685
Germany,2021-04-12,3011513,2708320,78452,224741
Germany,2021-04-13,3022323,2726910,78746,216667
Germany,2021-04-14,3044016,2744940,79088,219988
Germany,2021-04-15,3073442,2747460,79381,246601
Germany,2021-04-16,3099273,2763260,79628,256385
Germany,2021-04-17,3123077,2784540,79847,258690
Germany,2021-04-18,3142262,2795080,79914,267268
Germany,2021-04-19,3153699,2811890,80006,261803
Germany,2021-04-20,3163308,2831440,80303,251565
Germany,2021-04-21,3188192,2852890,80634,254668
Germany,2021-04-22,3217710,2856510,80893,280307
Germany,2021-04-23,3245253,2876690,81158,287405
Germany,2021-04-24,3268645,2902900,81444,284301
Germany,2021-04-25,3287418,2917730,81564,288124
Germany,2021-04-26,3299325,2939900,81624,277801
Germany,2021-04-27,3310301,2960900,81968,267433
Germany,2021-04-28,3332532,2966590,82280,283662
Germany,2021-04-29,3357268,2987910,82544,286814
Germany,2021-04-30,3381597,3008640,82850,290107
Germany,2021-05-01,3400532,3025120,83082,292330
Germany,2021-05-02,3416822,3051730,83192,281900
Germany,2021-05-03,3425982,3053770,83276,288936
Germany,2021-05-04,3433516,3075230,83591,274695
Germany,2021-05-05,3451550,3118660,83876,249014
Germany,2021-05-06,3473503,3140330,84126,249047
Germany,2021-05-07,3491988,3142640,84410,264938
Germany,2021-05-08,3507673,3160630,84648,262395
Germany,2021-05-09,3520329,3187100,84775,248454
Germany,2021-05-10,3527251,3188710,84829,253712
Germany,2021-05-11,3533376,3231090,85112,217174
Germany,2021-05-12,3548285,3233630,85380,229275
Germany,2021-05-13,3565704,3268190,85658,211856
Germany,2021-05-14,3577040,3284300,85848,206892
Germany,2021-05-15,3584934,3292700,86025,206209
Germany,2021-05-16,3593434,3306260,86096,201078
Germany,2021-05-17,3598846,3323190,86160,189496
Germany,2021-05-18,3603055,3342350,86381,174324
Germany,2021-05-19,3614095,3359530,86665,167900
Germany,2021-05-20,3626393,3376100,86902,163391
Germany,2021-05-21,3635162,3390400,87128,157634
Germany,2021-05-22,3642244,3398700,87298,156246
Germany,2021-05-23,3648958,3410040,87380,151538
Germany,2021-05-24,3651640,3425380,87423,138837
Germany,2021-05-25,3653551,3439570,87456,126525
Germany,2021-05-26,3656177,3452290,87726,116161
Germany,2021-05-27,3662490,3463130,87995,111365
Germany,2021-05-28,3669870,3472650,88187,109033
Germany,2021-05-29,3675296,3479700,88350,107246
Germany,2021-05-30,3679148,3487850,88406,102892
Germany,2021-05-31,3681126,3498580,88442,94104
Germany,2021-06-01,3682911,3509660,88595,84656
Germany,2021-06-02,3687828,3518860,88774,80194
Germany,2021-06-03,3692468,3526110,88940,77418
Germany,2021-06-04,3695633,3533860,89026,72747
Germany,2021-06-05,3697927,3538290,89148,70489
Germany,2021-06-06,3700367,3542000,89222,69145
Germany,2021-06-07,3701484,3549820,89244,62420
Germany,2021-06-08,3702688,3557840,89384,55464
Germany,2021-06-09,3705942,3563140,89491,53311
Germany,2021-06-10,3709129,3568460,89585,51084
Germany,2021-06-11,3711569,3574000,89687,47882
Germany,2021-06-12,3713480,3577840,89816,45824
Germany,2021-06-13,3714969,3581340,89834,43795
Germany,2021-06-14,3715518,3585660,89844,40014
Germany,2021-06-15,3716170,3590610,89937,35623
Germany,2021-06-16,3717625,3593730,90074,33821
Germany,2021-06-17,3718955,3597940,90179,30836
Germany,2021-06-18,3720031,3600360,90270,29401
Germany,2021-06-19,3721139,3602150,90369,28620
Germany,2021-06-20,3721981,3604050,90385,27546
Germany,2021-06-21,3722327,3606150,90395,25782
Germany,2021-06-22,3722782,3609310,90472,23000
Germany,2021-06-23,3723798,3612840,90523,20435
Germany,2021-06-24,3724806,3616140,90616,18050
Germany,2021-06-25,3725580,3617470,90678,17432
Germany,2021-06-26,3726172,3618510,90746,16916
Germany,2021-06-27,3726710,3619010,90754,16946
Germany,2021-06-28,3726929,3620830,90762,15337
Germany,2021-06-29,3727333,3622220,90819,14294
Germany,2021-06-30,3728141,3623800,90875,13466
Germany,2021-07-01,3729033,3625010,90938,13085
Germany,2021-07-02,3729682,3625740,91007,12935
Germany,2021-07-03,3730353,3626610,91023,12720
Germany,2021-07-04,3730912,3627520,91030,12362
Germany,2021-07-05,3731124,3628600,91031,11493
Germany,2021-07-06,3731564,3628910,91062,11592
Germany,2021-07-07,3732549,3630340,91110,11099
Germany,2021-07-08,3733519,3631310,91141,11068
Germany,2021-07-09,3734468,3632230,91190,11048
Germany,2021-07-10,3735420,3632330,91225,11865
Germany,2021-07-11,3736165,3632930,91231,12004
Germany,2021-07-12,3736489,3633520,91233,11736
Germany,2021-07-13,3737135,3634550,91259,11326
Germany,2021-07-14,3738683,3635420,91287,11976
Germany,2021-07-15,3740325,3636120,91319,12886
Germany,2021-07-16,3741781,3636960,91337,13484
Germany,2021-07-17,3743389,3637480,91359,14550
Germany,2021-07-18,3744681,3638720,91362,14599
Germany,2021-07-19,3745227,3639640,91363,14224
Germany,2021-07-20,3746410,3640270,91397,14743
Germany,2021-07-21,3748613,3641100,91416,16097
Germany,2021-07-22,3750503,3642010,91458,17035
Germany,2021-07-23,3752592,3642120,91492,18980
Germany,2021-07-24,3754511,3643350,91520,19641
Germany,2021-07-25,3755898,3644560,91524,19814
Germany,2021-07-26,3756856,3645870,91527,19459
Germany,2021-07-27,3758401,3647240,91565,19596
Germany,2021-07-28,3761169,3653990,91586,15593
Germany,2021-07-29,3764311,3649670,91607,23034
Germany,2021-07-30,3766765,3652400,91637,22728
Germany,2021-07-31,3769165,3653150,91658,24357
Germany,2021-08-01,3771262,3654720,91659,24883
Germany,2021-08-02,3772109,3654950,91660,25499
Germany,2021-08-03,3773875,3658150,91679,24046
Germany,2021-08-04,3777446,3659260,91704,26482
Germany,2021-08-05,3780985,0,91730,3689255
Germany,2021-08-06,3784433,0,91754,3692679
Germany,2021-08-07,3787639,0,91778,3695861
Germany,2021-08-08,3790766,0,91782,3698984
Germany,2021-08-09,3791949,0,91784,3700165
Germany,2021-08-10,3794429,0,91803,3702626
Germany,2021-08-11,3799425,0,91817,3707608
Germany,2021-08-12,3805063,0,91834,3713229
Germany,2021-08-13,3810641,0,91853,3718788
Germany,2021-08-14,3816285,0,91864,3724421
Germany,2021-08-15,3821013,0,91867,3729146
Germany,2021-08-16,3823139,0,91871,3731268
Germany,2021-08-17,3827051,0,91899,3735152
Germany,2021-08-18,3835375,0,91921,3743454
Germany,2021-08-19,3843775,0,91943,3751832
Germany,2021-08-20,3853055,0,91956,3761099
Germany,2021-08-21,3861147,0,91973,3769174
Germany,2021-08-22,3868197,0,91976,3776221
Germany,2021-08-23,3871865,0,91980,3779885
Germany,2021-08-24,3877612,0,92022,3785590
Germany,2021-08-25,3889173,0,92061,3797112
Germany,2021-08-26,3901799,0,92082,3809717
Germany,2021-08-27,3913828,0,92096,3821732
Germany,2021-08-28,3924131,0,92118,3832013
Germany,2021-08-29,3932547,0,92130,3840417
Germany,2021-08-30,3937106,0,92140,3844966
Germany,2021-08-31,3942856,0,92200,3850656
Germany,2021-09-01,3956387,0,92223,3864164
Germany,2021-09-02,3970102,0,92256,3877846
Germany,2021-09-03,3984353,0,92301,3892052
Germany,2021-09-04,3995188,0,92325,3902863
Germany,2021-09-05,4005641,0,92346,3913295
